,0
0,기대가 됩니다.
1,"기대반,걱정반으로 구독신청 완.료.
앞으로 디즈니플러스만의 많은,오리지널.콘텐츠
기대합니다.
앱 화면에서 볼륨이나 밝기 컨트롤 가능하게
해주세용!"
2,사랑해요
3,"엄청 좋은 컨텐츠에 감각하면서 보고 있는데, 화면의 반을 가리는 자막때문에 거슬립니다. 자막 크기 조정 해주세요"
4,기대됩니다!!
5,감사감사요
6,확인 해야되는데 글자가 없네요???
7,"디즈니 사랑해요ㅠㅠ
디즈니 픽사 마블 스타 네셔널 지오그래픽 다 있으무ㅠㅠ"
8,가격도 넷플에 비하면 저렴한 편이고 디즈니이니 컨텐츠는 당연히 너무 많고 좋네요. 근데 컨텐츠마다 소리가 오락가락하네요. 이 부분만 고쳐주시면 좋을거같네요.
9,헤헤소울봐야지
10,사랑해요!!!!!!!!!
11,缺点是里面的内容过少.希望后期能大大增加吧～本人是国家地理的铁粉～～～～～
12,진짜 구독하길 잘했네요 제가 좋아하는 시리즈가 있어서 감사함!!!
13,컨텐츠 너무 빈약
14,최고의 선택이라 자부합니다
15,"근데 없네요, 다크윙 덕, 칩과 데일은 왜 저렇게 만들어 둔건디, 곰돌이 푸 이런거 하나도 없습니다
거기다가 결제 안하면 뭐가 있는지도 확인 안되게 해뒀습니다 이거 거의 사기 아닙니까?"
16,"역시 콘텐츠양이 엄청나네요
구독료도 넷플보다 훨 싸고
기대됩니다!!"
17,감사합니다 감사합니다
18,굿
19,스타워즈 시리즈 마블 시리즈 디즈니 프린세스 픽사 작품 내셔널 지오그래픽 등등 너무 많다
20,"화면 슬라이드로 볼륨 조절 밝기조절,
ㅠㅠ빠른재생(1.5배, 3배) 기능이 없는게 너무 불편해요
첫 홈 화면에 카테고리 바가 있으면 편할거같아요.
(드라마 영화 애니메이션 등)"
21,라고 말할 수 있게 좋은 컨텐츠 기대합니다
22,시청기록 지우는 것도 추가하면 좋을 것 같아요
23,다양한거 볼수 있어 좋네요 영상재생만 조금 고쳐졌으면 좋겠어요
24,내셔널지오그래픽을 풀로 볼 수 있다니....
25,스타워즈 컨텐츠 미쳤네요ㅠㅜ
26,드림웍스 화이팅
27,아니더라도 필수
28,기대보다 볼게 별로...
29,내셔널지오그래픽!!
30,심슨 볼려고 1년구독 넣었음돠 ㅋㅋ 시즌30개 ㅋㅋㅋ...(스타워즈랑 디즈니애니포함)자막이 좀 투박한데 점차 세련되게 개선되길 기대해요.
31,디즈니 콘텐츠야 말해 뭐해요~ 그.런.데.. 어플 이용해 폰으로 시청할때는 불편하네요 어플에 PIP가 적용되어도 팝업창이 안되요 설정하는 다른 방법이 있는건데 제가 모르는건지 모르겠는데 팝업창이 안되다니...많이 불편하네요
32,GOOD
33,빅 히어로 시즌1은 없나요?
34,"넘 기대를 많이 해서 그른가 상당히 실망이네요... 배속 안되는건 뭐 안되는 다른 ott 서비스도 많으니까 이해하는데 밝기 조절, 음량조절 이나 자막 크기 조절 같은 간단한 것도 아직은 제공을 하지 않네요... 아직 자막 지원하지 않는 작품들도 꽤 있는것 같고요.. 또 한달 무료 아니 최소한의 2주 무료 이용조차도 없는게 불친절하고 결제를 해야지 무슨컨텐츠들이 있는지 둘러볼수 있네요.. 이런것들이 개선되지 않는다면 이번 한달이 마지막 이용이 될것같습니다, 괜히 넷플이 시장 1위겠어요.. 다 이유가 있더라고요. ㅠ ㅠ"
35,일부 컨텐츠가 카테고리 목록에 없는 경우가 있습니다 따로 검색을 하거나 비슷한 컨텐츠 목록으로 찾아들어가야 합니다 예를 들어 '일곱개의 대죄'는 검색을 해야지 찾을 수 있고 카테고리 목록 어디에서도 찾을 수가 없어요 새로운 볼만한 거 둘러볼 때 이런식으로 목록에서 누락된 작품은 아예 볼 기회가 없겠죠
36,첫 가입자입니다. 와우멤버십30일무료체험 버튼을 몇 번을 눌러도 다음으로 진행이 되지 않네요. 앱 지웠다가 다시 설치해도 똑같습니다. 서버가 한번에 몰리는 가입자들을 감당 못해서 이런건지 다른 사람들도 저랑 비슷한 현상을 겪는 것 같습니다. 개선 부탁드립니다. TV조선만 원망스러워지네요
37,굿
38,한국드라마컨텐츠 부족
39,디즈니 콘텐츠 이용이 가능한건 매력적이지만 가족끼리 계정 공유할 때마다 이런저런 렉이 걸려서 귀찮음.
40,"시청중인 콘텐츠 삭제 기능이 없는것, 시인성 문제 등 타 앱들과 비교했을때 부족한 기능과 시스템이 많이 보입니다. 빠른 개선이 필요할듯합니다."
41,"콘텐츠는 좋아요. 그렇지만, 배속 기능이랑 보던 영상을 앱 켜자마자 이어볼 수 있는 기능 추가되면 좋겠어요"
42,후발주자인데 기본 기능은 오래 전에 나온 넷플릭스보다 한참 떨어지면서 콘텐츠만 내세우고 배짱장사하는 게 스팀과 에픽 게임즈 관계 같네요. 1. 이미 많이 얘기 나온 자막 문제 2. 디즈니 채널로 더빙된 작품이라고 한국 자막 지원 x. 한국 영화도 cc 지원해주는 넷플릭스랑 천지 차이. 캐리비안의 해적처럼 유명한 작품은 온갖 언어 더빙에 자막 다 지원해준다는 점에서 더 짜증남. 3. 보는 중인 콘텐츠 목록 지울 수 없음 4. 찜한 콘텐츠 항목 들어가기가 불편함 5. 디즈니 극장판 애니메이션 시작하기 전에 나왔던 단편 애니메이션 제목을 기억하기도 어려운데 다 분리해놔서 하나하나 찾아야 함. 자기 전에 앰피비아 보려다가 중국어랑 영어 자막만 있는 거 보고 그냥 넷플릭스 보러 갑니다.
43,대만족
44,이거 참 버그 엄청나게 많네요 그중 성인인증도 못하게 하네요 인증번호가 와도 치지를 못하니
45,오늘 오픈한 앱이 테스트도 안하고 올리나요. 성인인증 안되는 오류정도는 충분히 확인하고 올려야죠. 실망이네요. 빨리 수정해주세요.
46,컨텐츠는 맘에 드는데 번역상태 왜 이럼? 자막상태도 엉망이고 기기따라 자막이 붕 뜨는 현상도 있음. 유튜브로 런칭기념인지 뭔지 할 시간에 기본은 제대로 하고 하자... 일단 계속 구독은 할껀데 개선 안하면 탈주각임
47,"1. 1.25배속, 1.5배속으로 보기 만들어주세요 2. 관심 컨텐츠 항목 홈 화면에서 볼 수 있게 해주세요"
